SH, 01, 2013102800, 03, NG03, 072, 179S,  468E,  11, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 000, 124S,  621E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 006, 127S,  614E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 012, 130S,  605E,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 018, 129S,  593E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 024, 129S,  580E,  22, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 030, 130S,  565E,  22, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 036, 133S,  551E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 042, 140S,  537E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG04, 048, 140S,  524E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 000, 119S,  623E,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 006, 120S,  615E,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 012, 122S,  604E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 018, 121S,  591E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 024, 121S,  580E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 030, 122S,  567E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 036, 122S,  551E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 042, 124S,  536E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 048, 125S,  523E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 054, 127S,  511E,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 060, 130S,  493E,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 066, 138S,  486E,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 072, 149S,  473E,  11, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG05, 078, 161S,  455E,   9, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG06, 000, 126S,  612E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
