WP, 17, 2013091706, 03, HWRF, 072, 203N, 1248E,  87,  951, XX,  34, NEQ, 0223, 0351, 0351, 0350,    0,    0,  46
WP, 17, 2013091706, 03, HWRF, 072, 203N, 1248E,  87,  951, XX,  50, NEQ, 0118, 0097, 0110, 0113,    0,    0,  46
WP, 17, 2013091706, 03, HWRF, 072, 203N, 1248E,  87,  951, XX,  64, NEQ, 0074, 0071, 0069, 0075,    0,    0,  46
WP, 17, 2013091706, 03, HWRF, 078, 207N, 1240E,  91,  945, XX,  34, NEQ, 0206, 0182, 0213, 0315,    0,    0,  36
WP, 17, 2013091706, 03, HWRF, 078, 207N, 1240E,  91,  945, XX,  50, NEQ, 0124, 0111, 0206, 0119,    0,    0,  36
WP, 17, 2013091706, 03, HWRF, 078, 207N, 1240E,  91,  945, XX,  64, NEQ, 0084, 0081, 0083, 0084,    0,    0,  36
WP, 17, 2013091706, 03, HWRF, 084, 210N, 1233E, 107,  938, XX,  34, NEQ, 0185, 0168, 0270, 0318,    0,    0,  53
WP, 17, 2013091706, 03, HWRF, 084, 210N, 1233E, 107,  938, XX,  50, NEQ, 0112, 0121, 0122, 0118,    0,    0,  53
WP, 17, 2013091706, 03, HWRF, 084, 210N, 1233E, 107,  938, XX,  64, NEQ, 0089, 0089, 0098, 0086,    0,    0,  53
WP, 17, 2013091706, 03, HWRF, 090, 214N, 1227E, 106,  938, XX,  34, NEQ, 0184, 0351, 0309, 0304,    0,    0,  53
WP, 17, 2013091706, 03, HWRF, 090, 214N, 1227E, 106,  938, XX,  50, NEQ, 0107, 0107, 0111, 0120,    0,    0,  53
WP, 17, 2013091706, 03, HWRF, 090, 214N, 1227E, 106,  938, XX,  64, NEQ, 0083, 0082, 0092, 0084,    0,    0,  53
WP, 17, 2013091706, 03, HWRF, 096, 218N, 1221E, 101,  938, XX,  34, NEQ, 0177, 0195, 0302, 0290,    0,    0,  48
WP, 17, 2013091706, 03, HWRF, 096, 218N, 1221E, 101,  938, XX,  50, NEQ, 0114, 0112, 0098, 0176,    0,    0,  48
WP, 17, 2013091706, 03, HWRF, 096, 218N, 1221E, 101,  938, XX,  64, NEQ, 0084, 0078, 0074, 0086,    0,    0,  48
WP, 17, 2013091706, 03, HWRF, 102, 220N, 1213E,  94,  942, XX,  34, NEQ, 0218, 0203, 0283, 0288,    0,    0,  38
WP, 17, 2013091706, 03, HWRF, 102, 220N, 1213E,  94,  942, XX,  50, NEQ, 0124, 0096, 0129, 0171,    0,    0,  38
WP, 17, 2013091706, 03, HWRF, 102, 220N, 1213E,  94,  942, XX,  64, NEQ, 0067, 0066, 0091, 0108,    0,    0,  38
WP, 17, 2013091706, 03, HWRF, 108, 221N, 1205E,  92,  950, XX,  34, NEQ, 0234, 0280, 0200, 0254,    0,    0,  61
WP, 17, 2013091706, 03, HWRF, 108, 221N, 1205E,  92,  950, XX,  50, NEQ, 0173, 0102, 0126, 0171,    0,    0,  61
WP, 17, 2013091706, 03, HWRF, 108, 221N, 1205E,  92,  950, XX,  64, NEQ, 0097, 0074, 0091, 0109,    0,    0,  61
WP, 17, 2013091706, 03, HWRF, 114, 223N, 1201E,  85,  953, XX,  34, NEQ, 0226, 0210, 0181, 0232,    0,    0,  50
WP, 17, 2013091706, 03, HWRF, 114, 223N, 1201E,  85,  953, XX,  50, NEQ, 0155, 0102, 0121, 0149,    0,    0,  50
WP, 17, 2013091706, 03, HWRF, 114, 223N, 1201E,  85,  953, XX,  64, NEQ, 0092, 0078, 0084, 0106,    0,    0,  50
WP, 17, 2013091706, 03, HWRF, 120, 225N, 1196E,  86,  955, XX,  34, NEQ, 0210, 0190, 0163, 0189,    0,    0,  35
WP, 17, 2013091706, 03, HWRF, 120, 225N, 1196E,  86,  955, XX,  50, NEQ, 0157, 0096, 0107, 0137,    0,    0,  35
