AL, 97, 2014092912, 03, NG06, 120, 400N,  541W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 126, 409N,  527W,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 132, 420N,  509W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 138, 426N,  485W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 144, 442N,  456W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 150, 462N,  425W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 156, 483N,  388W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 162, 502N,  340W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 168, 512N,  288W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 000, 323N,  667W,  18, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 006, 327N,  668W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 012, 332N,  670W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 018, 348N,  670W,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 024, 361N,  668W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 030, 374N,  664W,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 036, 388N,  657W,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 042, 399N,  647W,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 048, 408N,  637W,  33, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 054, 411N,  635W,  34, 1003, XX,  34, NEQ, 0264, 0000, 0000, 0167
AL, 97, 2014092912, 03, NG07, 060, 413N,  637W,  36, 1003, XX,  34, NEQ, 0645, 0000, 0155, 0110
AL, 97, 2014092912, 03, NG07, 066, 416N,  641W,  35, 1003, XX,  34, NEQ, 0230, 0000, 0148, 0099
AL, 97, 2014092912, 03, NG07, 072, 418N,  642W,  37, 1003, XX,  34, NEQ, 0218, 0000, 0147, 0111
AL, 97, 2014092912, 03, NG07, 078, 416N,  640W,  36, 1004, XX,  34, NEQ, 0313, 0000, 0148, 0153
AL, 97, 2014092912, 03, NG07, 084, 416N,  639W,  34, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 090, 418N,  640W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 096, 419N,  637W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 102, 418N,  631W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 108, 418N,  620W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 114, 420N,  607W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 120, 423N,  590W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 126, 429N,  572W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 132, 432N,  552W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 138, 440N,  535W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 144, 437N,  511W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 150, 443N,  488W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 156, 451N,  465W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 162, 460N,  441W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 168, 472N,  416W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 174, 489N,  401W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG07, 180, 516N,  389W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 000, 320N,  657W,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 006, 321N,  658W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 012, 325N,  659W,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 018, 334N,  657W,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 024, 346N,  654W,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 030, 354N,  645W,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 036, 368N,  634W,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 042, 379N,  623W,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 048, 391N,  611W,  26, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 054, 399N,  596W,  30, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 060, 407N,  577W,  33, 1010, XX,  34, NEQ, 0218, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 066, 409N,  569W,  32, 1010, XX,  34, NEQ, 0224, 0000, 0000, 0186
AL, 97, 2014092912, 03, NG08, 072, 410N,  563W,  34, 1011, XX,  34, NEQ, 0208, 0000, 0000, 0171
AL, 97, 2014092912, 03, NG08, 078, 408N,  565W,  34, 1011, XX,  34, NEQ, 0219, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG08, 084, 403N,  573W,  33, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 000, 318N,  668W,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 006, 319N,  674W,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 012, 326N,  683W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 018, 340N,  690W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 024, 354N,  693W,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 030, 370N,  696W,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 036, 380N,  694W,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 042, 390N,  687W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 048, 399N,  681W,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 054, 405N,  683W,  33, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 060, 411N,  686W,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 066, 420N,  686W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 072, 427N,  682W,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 078, 433N,  674W,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 084, 440N,  662W,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 090, 450N,  648W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 096, 466N,  631W,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 102, 481N,  616W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 108, 498N,  598W,   0,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 114, 518N,  574W,   0,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 120, 544N,  559W,   0,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 126, 563N,  554W,   0,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 132, 572N,  556W,   0,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 138, 584N,  565W,   0,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 144, 595N,  566W,   0,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 150, 584N,  576W,   0,  987, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 156, 583N,  577W,   0,  986, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 162, 581N,  557W,   0,  985, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 168, 582N,  534W,   0,  986, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 174, 583N,  505W,   0,  988, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG09, 180, 577N,  472W,   0,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 000, 319N,  664W,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 006, 320N,  668W,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 012, 321N,  675W,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 018, 326N,  681W,  22, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 024, 333N,  684W,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 030, 341N,  686W,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 036, 351N,  686W,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 042, 362N,  678W,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 048, 374N,  667W,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 054, 387N,  656W,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 060, 396N,  644W,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 066, 401N,  633W,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 072, 402N,  621W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 078, 404N,  612W,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 084, 407N,  602W,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 090, 407N,  594W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG10, 096, 408N,  588W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
