AL, 26, 2020100312, 03, AP21, 174, 247N,  944W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 180, 250N,  947W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 186, 255N,  950W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 192, 263N,  951W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP22,   0, 131N,  710W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,   0, 127N,  710W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,   6, 145N,  716W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,  12, 154N,  722W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,  18, 161N,  734W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,  24, 165N,  740W,  34, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,  30, 168N,  748W,  35, 1004, XX,  34, NEQ,    0,    0,    0,   56, 
AL, 26, 2020100312, 03, AP23,  36, 170N,  754W,  33, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,  42, 173N,  758W,  34, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,  48, 181N,  766W,  48,  997, XX,  34, NEQ,   72,   47,    0,    0, 
AL, 26, 2020100312, 03, AP23,  54, 188N,  778W,  43, 1000, XX,  34, NEQ,   78,    0,    0,   50, 
AL, 26, 2020100312, 03, AP23,  60, 194N,  791W,  43,  998, XX,  34, NEQ,   72,   41,    0,    0, 
AL, 26, 2020100312, 03, AP23,  66, 203N,  808W,  48,  997, XX,  34, NEQ,   77,   48,    0,   53, 
AL, 26, 2020100312, 03, AP23,  72, 213N,  826W,  50,  996, XX,  34, NEQ,   61,   46,    0,    0, 
AL, 26, 2020100312, 03, AP23,  72, 213N,  826W,  50,  996, XX,  50, NEQ,   33,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23,  78, 225N,  844W,  45,  999, XX,  34, NEQ,   75,    0,    0,   35, 
AL, 26, 2020100312, 03, AP23,  84, 241N,  861W,  53,  992, XX,  34, NEQ,   78,   60,   24,   65, 
AL, 26, 2020100312, 03, AP23,  84, 241N,  861W,  53,  992, XX,  50, NEQ,   46,   32,    0,    0, 
AL, 26, 2020100312, 03, AP23,  90, 250N,  881W,  50,  994, XX,  34, NEQ,   78,   59,    0,   68, 
AL, 26, 2020100312, 03, AP23,  96, 258N,  899W,  51,  994, XX,  34, NEQ,   73,   40,    0,   71, 
AL, 26, 2020100312, 03, AP23,  96, 258N,  899W,  51,  994, XX,  50, NEQ,   26,    0,    0,    0, 
AL, 26, 2020100312, 03, AP23, 102, 262N,  918W,  45,  997, XX,  34, NEQ,   79,   43,  284,   80, 
AL, 26, 2020100312, 03, AP23, 108, 262N,  932W,  42,  997, XX,  34, NEQ,   79,  318,  255,   84, 
AL, 26, 2020100312, 03, AP23, 108, 262N,  932W,  42,  997, XX,  50, NEQ,    0,  288,    0,    0, 
AL, 26, 2020100312, 03, AP23, 114, 261N,  943W,  36,  999, XX,  34, NEQ,   41,  289,   43,   50, 
AL, 26, 2020100312, 03, AP23, 114, 261N,  943W,  36,  999, XX,  50, NEQ,    0,  264,    0,    0, 
AL, 26, 2020100312, 03, AP24,   0, 122N,  709W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
