WP, 22, 2018081712, 03, HWRF, 078, 295N, 1325E,  95,  955, XX,  50, NEQ, 0101, 0101, 0073, 0084,  -99,  -99,  51,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -37,    1437,    2940, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 078, 295N, 1325E,  95,  955, XX,  64, NEQ, 0077, 0066, 0055, 0062,  -99,  -99,  51,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -37,    1437,    2940, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 081, 300N, 1319E,  91,  955, XX,  34, NEQ, 0210, 0202, 0118, 0135,  -99,  -99,  53,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -27,    1401,    3187, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 081, 300N, 1319E,  91,  955, XX,  50, NEQ, 0105, 0099, 0073, 0092,  -99,  -99,  53,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -27,    1401,    3187, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 081, 300N, 1319E,  91,  955, XX,  64, NEQ, 0076, 0069, 0059, 0068,  -99,  -99,  53,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -27,    1401,    3187, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 084, 307N, 1315E,  96,  956, XX,  34, NEQ, 0206, 0191, 0131, 0142,  -99,  -99,  52,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -51,    1473,    3199, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 084, 307N, 1315E,  96,  956, XX,  50, NEQ, 0103, 0097, 0077, 0067,  -99,  -99,  52,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -51,    1473,    3199, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 084, 307N, 1315E,  96,  956, XX,  64, NEQ, 0080, 0077, 0064, 0056,  -99,  -99,  52,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -51,    1473,    3199, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 087, 313N, 1310E,  92,  957, XX,  34, NEQ, 0200, 0199, 0116, 0134,  -99,  -99,  58,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -41,    1711,    2992, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 087, 313N, 1310E,  92,  957, XX,  50, NEQ, 0104, 0101, 0071, 0098,  -99,  -99,  58,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -41,    1711,    2992, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 087, 313N, 1310E,  92,  957, XX,  64, NEQ, 0079, 0079, 0055, 0046,  -99,  -99,  58,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -41,    1711,    2992, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 090, 322N, 1305E,  75,  960, XX,  34, NEQ, 0212, 0222, 0112, 0127,  -99,  -99,  66,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -37,    1519,    2618, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 090, 322N, 1305E,  75,  960, XX,  50, NEQ, 0110, 0109, 0060, 0073,  -99,  -99,  66,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -37,    1519,    2618, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 090, 322N, 1305E,  75,  960, XX,  64, NEQ, 0077, 0077, 0000, 0000,  -99,  -99,  66,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -37,    1519,    2618, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 093, 330N, 1302E,  67,  964, XX,  34, NEQ, 0232, 0208, 0109, 0131,  996,  127,  65,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -24,    1497,    2167, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 093, 330N, 1302E,  67,  964, XX,  50, NEQ, 0110, 0113, 0061, 0087,  996,  127,  65,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -24,    1497,    2167, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 093, 330N, 1302E,  67,  964, XX,  64, NEQ, 0088, 0000, 0000, 0000,  996,  127,  65,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -24,    1497,    2167, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 096, 339N, 1302E,  70,  968, XX,  34, NEQ, 0226, 0209, 0111, 0108,  -99,  -99,  78,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,       5,    1266,    2055, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 096, 339N, 1302E,  70,  968, XX,  50, NEQ, 0110, 0121, 0079, 0069,  -99,  -99,  78,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,       5,    1266,    2055, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 096, 339N, 1302E,  70,  968, XX,  64, NEQ, 0089, 0092, 0000, 0000,  -99,  -99,  78,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,       5,    1266,    2055, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 099, 348N, 1303E,  64,  970, XX,  34, NEQ, 0204, 0220, 0122, 0111,  -99,  -99,  59,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      36,    1549,    2198, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 099, 348N, 1303E,  64,  970, XX,  50, NEQ, 0101, 0128, 0074, 0076,  -99,  -99,  59,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      36,    1549,    2198, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 099, 348N, 1303E,  64,  970, XX,  64, NEQ, 0000, 0059, 0000, 0000,  -99,  -99,  59,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      36,    1549,    2198, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 102, 360N, 1307E,  64,  970, XX,  34, NEQ, 0246, 0241, 0147, 0094,  -99,  -99,  73,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      73,    1356,    2040, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 102, 360N, 1307E,  64,  970, XX,  50, NEQ, 0105, 0142, 0096, 0067,  -99,  -99,  73,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      73,    1356,    2040, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 102, 360N, 1307E,  64,  970, XX,  64, NEQ, 0000, 0075, 0000, 0000,  -99,  -99,  73,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      73,    1356,    2040, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 105, 372N, 1313E,  77,  970, XX,  34, NEQ, 0208, 0306, 0148, 0097,  998,  136,  82,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      97,    1220,    2188, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 105, 372N, 1313E,  77,  970, XX,  50, NEQ, 0130, 0133, 0060, 0065,  998,  136,  82,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      97,    1220,    2188, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 105, 372N, 1313E,  77,  970, XX,  64, NEQ, 0000, 0096, 0047, 0000,  998,  136,  82,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      97,    1220,    2188, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 108, 386N, 1322E,  74,  972, XX,  34, NEQ, 0164, 0293, 0178, 0150, 1000,  146,  74,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     144,     882,    1754, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 108, 386N, 1322E,  74,  972, XX,  50, NEQ, 0123, 0143, 0105, 0039, 1000,  146,  74,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     144,     882,    1754, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 108, 386N, 1322E,  74,  972, XX,  64, NEQ, 0000, 0097, 0000, 0000, 1000,  146,  74,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     144,     882,    1754, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 111, 399N, 1331E,  75,  971, XX,  34, NEQ, 0158, 0238, 0152, 0163,  -99,  -99,  75,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     247,     824,    1362, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 111, 399N, 1331E,  75,  971, XX,  50, NEQ, 0114, 0135, 0085, 0061,  -99,  -99,  75,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     247,     824,    1362, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 111, 399N, 1331E,  75,  971, XX,  64, NEQ, 0079, 0100, 0000, 0000,  -99,  -99,  75,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     247,     824,    1362, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 114, 413N, 1346E,  69,  971, XX,  34, NEQ, 0147, 0237, 0188, 0153,  -99,  -99,  82,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     290,    1042,    1004, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 114, 413N, 1346E,  69,  971, XX,  50, NEQ, 0086, 0137, 0111, 0068,  -99,  -99,  82,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     290,    1042,    1004, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 114, 413N, 1346E,  69,  971, XX,  64, NEQ, 0000, 0101, 0000, 0000,  -99,  -99,  82,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     290,    1042,    1004, Y, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 117, 424N, 1363E,  76,  971, XX,  34, NEQ, 0156, 0224, 0153, 0157,  -99,  -99,  75,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     324,    1281,     702, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 117, 424N, 1363E,  76,  971, XX,  50, NEQ, 0098, 0140, 0110, 0064,  -99,  -99,  75,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     324,    1281,     702, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 117, 424N, 1363E,  76,  971, XX,  64, NEQ, 0000, 0100, 0096, 0045,  -99,  -99,  75,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     324,    1281,     702, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 120, 437N, 1386E,  80,  972, XX,  34, NEQ, 0132, 0211, 0168, 0112,  -99,  -99,  83,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     334,     920,      32, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 120, 437N, 1386E,  80,  972, XX,  50, NEQ, 0067, 0127, 0115, 0061,  -99,  -99,  83,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     334,     920,      32, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 120, 437N, 1386E,  80,  972, XX,  64, NEQ, 0000, 0107, 0106, 0000,  -99,  -99,  83,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     334,     920,      32, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 123, 451N, 1409E,  71,  973, XX,  34, NEQ, 0129, 0233, 0159, 0086,  -99,  -99, 120,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     382,    1171,    -463, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 123, 451N, 1409E,  71,  973, XX,  50, NEQ, 0000, 0152, 0123, 0061,  -99,  -99, 120,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     382,    1171,    -463, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 123, 451N, 1409E,  71,  973, XX,  64, NEQ, 0000, 0123, 0000, 0000,  -99,  -99, 120,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     382,    1171,    -463, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 126, 461N, 1436E,  56,  973, XX,  34, NEQ, 0147, 0222, 0244, 0107,  993,  139,  55,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     290,     706,    -488, N, 10, DT, -999
WP, 22, 2018081712, 03, HWRF, 126, 461N, 1436E,  56,  973, XX,  50, NEQ, 0000, 0145, 0144, 0000,  993,  139,  55,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     290,     706,    -488, N, 10, DT, -999
WP, 22, 2018081712, 03,  UKM,   0, 238N, 1400E,  45,  982, TS,  34, NEQ,   85,   81,    0,   52,     ,     ,  32,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,   6, 245N, 1397E,  44,  978, TS,  34, NEQ,   84,   89,   40,   63,     ,     ,  39,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  12, 247N, 1397E,  52,  976, TS,  34, NEQ,   91,  100,   62,   74,     ,     ,  36,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  12, 247N, 1397E,  52,  976, TS,  50, NEQ,   43,    0,    0,    0,     ,     ,  36,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  18, 248N, 1397E,  57,  972, TS,  34, NEQ,   92,  105,   79,   88,     ,     ,  39,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  18, 248N, 1397E,  57,  972, TS,  50, NEQ,   53,    0,    0,   44,     ,     ,  39,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  24, 248N, 1395E,  61,  972, TS,  34, NEQ,  109,  112,   82,  103,     ,     ,  38,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  24, 248N, 1395E,  61,  972, TS,  50, NEQ,   57,   69,    0,   45,     ,     ,  38,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  30, 250N, 1390E,  62,  966, TS,  34, NEQ,  119,  122,   92,  102,     ,     ,  32,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  30, 250N, 1390E,  62,  966, TS,  50, NEQ,   60,   58,   32,   42,     ,     ,  32,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  36, 251N, 1385E,  64,  964, TS,  34, NEQ,  126,  122,   89,  109,     ,     ,  38,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  36, 251N, 1385E,  64,  964, TS,  50, NEQ,   68,   54,   43,   55,     ,     ,  38,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  42, 255N, 1380E,  68,  956, TY,  34, NEQ,  143,  117,   89,  115,     ,     ,  35,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  42, 255N, 1380E,  68,  956, TY,  50, NEQ,   69,   50,   38,   55,     ,     ,  35,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  42, 255N, 1380E,  68,  956, TY,  64, NEQ,   51,    0,    0,   39,     ,     ,  35,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  48, 258N, 1373E,  73,  952, TY,  34, NEQ,  155,  132,   87,  115,     ,     ,  33,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  48, 258N, 1373E,  73,  952, TY,  50, NEQ,   73,   57,   36,   52,     ,     ,  33,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  48, 258N, 1373E,  73,  952, TY,  64, NEQ,   45,   45,    0,   34,     ,     ,  33,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  54, 263N, 1364E,  78,  945, TY,  34, NEQ,  151,  144,  104,  117,     ,     ,  31,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  54, 263N, 1364E,  78,  945, TY,  50, NEQ,   76,   65,   44,   52,     ,     ,  31,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  54, 263N, 1364E,  78,  945, TY,  64, NEQ,   47,   36,   26,   30,     ,     ,  31,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  60, 267N, 1355E,  82,  939, TY,  34, NEQ,  159,  143,  107,  128,     ,     ,  27,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  60, 267N, 1355E,  82,  939, TY,  50, NEQ,   76,   64,   44,   56,     ,     ,  27,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  60, 267N, 1355E,  82,  939, TY,  64, NEQ,   45,   39,   25,   31,     ,     ,  27,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  66, 272N, 1345E,  89,  922, TY,  34, NEQ,  161,  139,  103,  136,     ,     ,  23,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  66, 272N, 1345E,  89,  922, TY,  50, NEQ,   81,   66,   49,   67,     ,     ,  23,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  66, 272N, 1345E,  89,  922, TY,  64, NEQ,   43,   30,   20,   30,     ,     ,  23,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  72, 278N, 1334E,  82,  926, TY,  34, NEQ,  175,  147,   94,  126,     ,     ,  20,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  72, 278N, 1334E,  82,  926, TY,  50, NEQ,   82,   70,   49,   65,     ,     ,  20,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  72, 278N, 1334E,  82,  926, TY,  64, NEQ,   47,   35,   17,   29,     ,     ,  20,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  78, 284N, 1322E,  78,  936, TY,  34, NEQ,  166,  143,  116,  131,     ,     ,  40,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  78, 284N, 1322E,  78,  936, TY,  50, NEQ,   79,   74,   58,   64,     ,     ,  40,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  78, 284N, 1322E,  78,  936, TY,  64, NEQ,   56,   48,   28,   46,     ,     ,  40,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  84, 292N, 1314E,  82,  939, TY,  34, NEQ,  163,  155,  111,  112,     ,     ,  31,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  84, 292N, 1314E,  82,  939, TY,  50, NEQ,   85,   87,   60,   59,     ,     ,  31,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  84, 292N, 1314E,  82,  939, TY,  64, NEQ,   52,   51,   35,   37,     ,     ,  31,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  90, 301N, 1305E,  87,  935, TY,  34, NEQ,  164,  159,  113,   98,     ,     ,  33,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  90, 301N, 1305E,  87,  935, TY,  50, NEQ,   80,   84,   60,   54,     ,     ,  33,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  90, 301N, 1305E,  87,  935, TY,  64, NEQ,   52,   57,   37,   36,     ,     ,  33,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  96, 311N, 1299E,  83,  933, TY,  34, NEQ,  143,  172,   97,   92,     ,     ,  24,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  96, 311N, 1299E,  83,  933, TY,  50, NEQ,   73,   80,   48,   52,     ,     ,  24,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM,  96, 311N, 1299E,  83,  933, TY,  64, NEQ,   40,   52,   26,   29,     ,     ,  24,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 102, 324N, 1296E,  78,  930, TY,  34, NEQ,  110,  130,   98,  112,     ,     ,  20,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 102, 324N, 1296E,  78,  930, TY,  50, NEQ,   34,   46,   32,   37,     ,     ,  20,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 102, 324N, 1296E,  78,  930, TY,  64, NEQ,   26,   29,   16,   22,     ,     ,  20,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 108, 340N, 1295E,  74,  950, TY,  34, NEQ,   91,   98,   66,   71,     ,     ,  22,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 108, 340N, 1295E,  74,  950, TY,  50, NEQ,   63,   34,   27,   37,     ,     ,  22,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 108, 340N, 1295E,  74,  950, TY,  64, NEQ,   36,   33,    0,    0,     ,     ,  22,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 114, 358N, 1298E,  72,  957, TY,  34, NEQ,  100,   97,   59,   56,     ,     ,  28,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 114, 358N, 1298E,  72,  957, TY,  50, NEQ,   62,   66,   27,   31,     ,     ,  28,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 114, 358N, 1298E,  72,  957, TY,  64, NEQ,   36,   44,    0,    0,     ,     ,  28,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 22, 2018081712, 03,  UKM, 120, 379N, 1306E,  77,  958, TY,  34, NEQ,  114,  126,   75,   69,     ,     ,  26,    ,    ,   W,    ,    ,    ,    ,     SOULIK,    0,   ,   0,    ,    0,    0,    0,    0, 
