SH, 17, 2020022100, 03, AP05, 000, 157S, 1700W,  37, 1002, XX,  34, NEQ, 0000, 0000, 0231, 0070
SH, 17, 2020022100, 03, AP05, 006, 177S, 1694W,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 012, 193S, 1699W,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 018, 195S, 1692W,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 024, 208S, 1684W,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 030, 219S, 1683W,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 036, 226S, 1671W,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 042, 231S, 1661W,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 048, 242S, 1656W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 054, 256S, 1651W,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 060, 267S, 1640W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 066, 279S, 1629W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 072, 290S, 1624W,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 078, 295S, 1622W,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP05, 084, 295S, 1632W,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 000, 155S, 1701W,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 006, 161S, 1701W,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 012, 167S, 1701W,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 018, 176S, 1701W,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 024, 186S, 1702W,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 030, 196S, 1701W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 036, 203S, 1704W,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 042, 211S, 1709W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 048, 218S, 1715W,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 054, 222S, 1724W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 060, 224S, 1736W,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 066, 227S, 1748W,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP06, 072, 233S, 1755W,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 000, 158S, 1701W,  48, 1002, XX,  34, NEQ, 0158, 0513, 0412, 0109
SH, 17, 2020022100, 03, AP07, 000, 158S, 1701W,  48, 1002, XX,  50, NEQ, 0000, 0346, 0249, 0000
