EP, 95, 2014073100, 03, GFDN,  90, 171N, 1302W,  40,  996
EP, 95, 2014073100, 03, GFDN,  96, 175N, 1307W,  39,  997
EP, 95, 2014073100, 03, NG05, 150, 195N, 1445W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 156, 197N, 1459W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 162, 199N, 1475W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 168, 200N, 1490W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 174, 203N, 1505W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 180, 210N, 1520W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 090, 138N, 1342W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 096, 138N, 1352W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 102, 139N, 1361W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 108, 140N, 1375W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 114, 139N, 1390W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 120, 137N, 1402W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 126, 132N, 1418W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 132, 130N, 1431W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 138, 129N, 1447W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG07, 144, 123N, 1461W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 090, 162N, 1332W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 096, 168N, 1341W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 102, 170N, 1351W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 108, 170N, 1361W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 114, 171N, 1370W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 120, 172N, 1378W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 126, 170N, 1386W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 132, 169N, 1395W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 138, 166N, 1402W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 144, 165N, 1411W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 150, 162N, 1420W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 156, 161N, 1430W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 162, 161N, 1441W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 168, 163N, 1453W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 174, 165N, 1467W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG08, 180, 168N, 1479W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG10, 090, 151N, 1279W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG10, 096, 154N, 1282W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG10, 102, 154N, 1286W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG10, 108, 155N, 1291W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG10, 114, 156N, 1296W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG10, 120, 157N, 1302W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG10, 126, 156N, 1308W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG10, 132, 157N, 1314W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
