AL, 05, 2020070400, 03, AP10,   0, 311N,  730W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP10,   6, 313N,  717W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP10,  12, 314N,  701W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP10,  18, 317N,  688W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP10,  24, 322N,  676W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP10,  30, 329N,  662W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP10,  36, 337N,  651W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP11,   0, 315N,  727W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP11,   6, 315N,  717W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP11,  12, 317N,  704W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP11,  18, 320N,  693W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP11,  24, 324N,  686W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP12,   0, 313N,  726W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP12,   6, 314N,  713W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP12,  12, 316N,  699W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP12,  18, 319N,  688W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
