AL, 98, 2014082712, 03, GFDN,   0, 270N,  945W,  27, 1009
AL, 98, 2014082712, 03, NG16, 006, 259N,  959W,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG16, 012, 255N,  960W,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 000, 273N,  946W,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 006, 273N,  948W,  15, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 012, 274N,  950W,  14, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 018, 275N,  956W,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 024, 279N,  959W,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 030, 280N,  960W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 036, 280N,  961W,  14, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 042, 286N,  963W,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 048, 292N,  962W,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 054, 295N,  963W,  10, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 060, 295N,  961W,  12, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 066, 295N,  962W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 072, 309N,  962W,   5, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG17, 078, 310N,  963W,   8, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG18, 000, 262N,  944W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG18, 006, 260N,  949W,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG18, 012, 259N,  954W,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG18, 018, 259N,  960W,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG18, 024, 258N,  965W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG18, 030, 257N,  966W,  14, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG18, 036, 251N,  966W,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG18, 042, 251N,  972W,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 000, 260N,  942W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 006, 257N,  947W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 012, 255N,  951W,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 018, 251N,  956W,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 024, 250N,  960W,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 030, 247N,  960W,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 036, 241N,  960W,  14, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 042, 246N,  965W,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 048, 244N,  972W,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG19, 054, 240N,  971W,  11, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 000, 260N,  939W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 006, 253N,  936W,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 012, 251N,  942W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 018, 250N,  949W,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 024, 250N,  953W,  14, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 030, 248N,  957W,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 036, 243N,  958W,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 042, 242N,  964W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 048, 250N,  968W,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 054, 255N,  967W,  15, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 060, 252N,  969W,  15, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 066, 260N,  975W,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 072, 265N,  974W,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 078, 270N,  969W,  13, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 084, 268N,  969W,  14, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 090, 277N,  969W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 096, 286N,  969W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 102, 288N,  965W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG20, 108, 297N,  963W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 000, 266N,  944W,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 006, 263N,  947W,  23, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 012, 262N,  953W,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
