EP, 18, 2008110118, 03, AP10,  12,  70N, 1066W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP10,  18,  71N, 1083W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP10,  24,  70N, 1098W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP10,  30,  70N, 1113W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP10,  36,  69N, 1129W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP10,  42,  65N, 1137W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,   0,  65N, 1034W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,   6,  68N, 1044W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  12,  71N, 1057W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  18,  68N, 1070W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  24,  63N, 1076W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  30,  61N, 1087W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  36,  65N, 1093W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  42,  59N, 1107W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  48,  54N, 1114W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  54,  53N, 1125W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  60,  55N, 1136W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  66,  60N, 1149W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  72,  61N, 1162W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  78,  61N, 1180W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  84,  65N, 1186W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP11,  90,  68N, 1183W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,   0,  67N, 1031W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,   6,  70N, 1040W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  12,  69N, 1052W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  18,  68N, 1066W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  24,  66N, 1078W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  30,  66N, 1087W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  36,  65N, 1099W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  42,  61N, 1108W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  48,  58N, 1114W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  54,  58N, 1130W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  60,  60N, 1151W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  66,  62N, 1159W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  72,  63N, 1173W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  78,  65N, 1186W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP12,  84,  59N, 1199W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP13,   0,  67N, 1032W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP13,   6,  68N, 1038W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP13,  12,  67N, 1050W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP13,  18,  63N, 1064W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP13,  24,  68N, 1071W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP13,  30,  59N, 1080W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP13,  36,  48N, 1084W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,   0,  66N, 1031W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,   6,  65N, 1033W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,  12,  61N, 1043W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,  18,  63N, 1055W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,  24,  62N, 1066W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,  30,  61N, 1078W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,  36,  59N, 1075W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,  42,  50N, 1069W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP14,  48,  43N, 1062W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,   0,  65N, 1035W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,   6,  65N, 1047W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  12,  63N, 1061W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  18,  68N, 1077W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  24,  62N, 1083W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  30,  67N, 1090W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  36,  60N, 1106W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  42,  62N, 1125W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  48,  63N, 1139W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  54,  63N, 1155W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  60,  59N, 1161W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  66,  59N, 1178W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  72,  64N, 1198W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP15,  78,  62N, 1213W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
