AL, 13, 2008100418, 03, SHIP, 108, 211N, 1051W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP, 120, 217N, 1073W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,   0, 178N,  880W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,  12, 184N,  901W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,  24, 190N,  923W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,  36, 199N,  944W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,  48, 207N,  959W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,  60, 212N,  972W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,  72, 214N,  986W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,  84, 213N, 1005W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS,  96, 211N, 1027W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS, 108, 211N, 1051W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHNS, 120, 217N, 1073W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,   0, 178N,  880W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,  12, 180N,  890W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,  24, 182N,  901W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,  36, 184N,  912W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,  48, 186N,  923W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,  60, 188N,  934W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,  72, 190N,  945W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,  84, 192N,  956W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP,  96, 194N,  967W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP, 108, 196N,  979W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, XTRP, 120, 198N,  990W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, ZGFS,   0, 166N,  880W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100500, 01, CARQ, -24, 176N,  865W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 13, 2008100500, 01, CARQ, -18, 176N,  869W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 13, 2008100500, 01, CARQ, -12, 177N,  875W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 281,   5, 
AL, 13, 2008100500, 01, CARQ,  -6, 178N,  880W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 13, 2008100500, 01, CARQ,   0, 180N,  886W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 285,   6,     INVEST, D, 
AL, 13, 2008100500, 01, CARQ,   0, 180N,  886W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 285,   6,     INVEST, D, 
